county,fips,collection_week,inpatient_beds,inpatient_beds_occupied,inpatient_percent_occupied,icu_beds,icu_beds_occupied,icu_percent_occupied
prince_georges,24033,2020-09-11,832.9,601.7,0.7224156561411935,130.4,88.39999999999999,0.6779141104294477
queen_annes,24035,2020-09-11,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-09-11,125,83.6,0.6688,12,4.7,0.39166666666666666
somerset,24039,2020-09-11,NA,NA,NA,NA,NA,NA
talbot,24041,2020-09-11,71.4,67.9,0.9509803921568627,5.6,4.3,0.7678571428571429
washington,24043,2020-09-11,200.6,188.6,0.9401794616151545,24,17.1,0.7125
wicomico,24045,2020-09-11,349,230.9,0.6616045845272206,86,33,0.38372093023255816
worcester,24047,2020-09-11,47.1,39.4,0.8365180467091294,8,6,0.75
baltimore_city,24510,2020-09-11,3057.5,2555.2000000000003,0.835715453802126,528.3,421.5,0.7978421351504827
allegany,24001,2020-09-18,183.1,182.7,0.997815401419989,22.6,11.1,0.49115044247787604
anne_arundel,24003,2020-09-18,507,495.1,0.9765285996055227,49.2,44.7,0.9085365853658537
baltimore,24005,2020-09-18,907.3000000000001,769.8,0.8484514493552296,101.7,71,0.6981317600786627
calvert,24009,2020-09-18,39.6,36.3,0.9166666666666665,4.9,4.1,0.8367346938775508
caroline,24011,2020-09-18,NA,NA,NA,NA,NA,NA
carroll,24013,2020-09-18,130,123,0.9461538461538461,10,6.1,0.61
cecil,24015,2020-09-18,75.9,59.4,0.7826086956521738,10,7.9,0.79
charles,24017,2020-09-18,113.4,78.1,0.6887125220458553,6.9,4.6,0.6666666666666666
dorchester,24019,2020-09-18,NA,NA,NA,NA,NA,NA
frederick,24021,2020-09-18,237.9,152.4,0.6406052963430012,18.9,10.1,0.5343915343915344
garrett,24023,2020-09-18,NA,NA,NA,NA,NA,NA
harford,24025,2020-09-18,209.5,182.3,0.8701670644391408,30.9,26.5,0.8576051779935275
howard,24027,2020-09-18,301.6,195.6,0.6485411140583554,30,14.3,0.4766666666666667
kent,24029,2020-09-18,NA,NA,NA,NA,NA,NA
montgomery,24031,2020-09-18,1266.8,1011.6,0.798547521313546,161.1,94.3,0.585350713842334
prince_georges,24033,2020-09-18,888.3,631.3,0.7106833277046043,150.7,99.8,0.6622428666224287
queen_annes,24035,2020-09-18,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-09-18,NA,NA,NA,NA,NA,NA
somerset,24039,2020-09-18,NA,NA,NA,NA,NA,NA
talbot,24041,2020-09-18,74.1,69.4,0.9365721997300946,5,5,1
washington,24043,2020-09-18,206.9,192.7,0.931367810536491,24,18,0.75
wicomico,24045,2020-09-18,349,215.7,0.6180515759312321,86,33,0.38372093023255816
worcester,24047,2020-09-18,40.6,30.1,0.7413793103448276,8,4.6,0.575
