county,fips,collection_week,inpatient_beds,inpatient_beds_occupied,inpatient_percent_occupied,icu_beds,icu_beds_occupied,icu_percent_occupied
kent,24029,2020-10-30,11.4,7.4,0.6491228070175439,0,0,NA
montgomery,24031,2020-10-30,1236.4,1007.7,0.8150274991912002,139.8,106.9,0.7646638054363376
prince_georges,24033,2020-10-30,885.7,687.5,0.7762221971322117,130.4,105,0.8052147239263804
queen_annes,24035,2020-10-30,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-10-30,90.7,75.6,0.8335170893054024,5.4,4.6,0.8518518518518517
somerset,24039,2020-10-30,NA,NA,NA,NA,NA,NA
talbot,24041,2020-10-30,125.4,69.1,0.5510366826156299,8.9,5.7,0.6404494382022472
washington,24043,2020-10-30,209.1,194.7,0.9311334289813487,24,14.9,0.6208333333333333
wicomico,24045,2020-10-30,344,234.3,0.6811046511627907,81,34.9,0.4308641975308642
worcester,24047,2020-10-30,NA,NA,NA,NA,NA,NA
baltimore_city,24510,2020-10-30,3192.2,2519.2000000000003,0.789173610676023,527.1,448.1,0.8501233162587745
allegany,24001,2020-11-06,175,168.4,0.9622857142857143,28,11,0.39285714285714285
anne_arundel,24003,2020-11-06,614.1,570,0.9281875915974597,69.9,53,0.7582260371959942
baltimore,24005,2020-11-06,860.7,777.8,0.9036830486813058,105.4,84.7,0.8036053130929791
calvert,24009,2020-11-06,53.7,48.6,0.9050279329608938,6.6,6.4,0.9696969696969698
caroline,24011,2020-11-06,NA,NA,NA,NA,NA,NA
carroll,24013,2020-11-06,136.9,131.1,0.9576333089846603,12,9.4,0.7833333333333333
cecil,24015,2020-11-06,80.3,59.6,0.742216687422167,9.4,4.6,0.4893617021276595
charles,24017,2020-11-06,107.4,79,0.7355679702048417,8,7.4,0.925
dorchester,24019,2020-11-06,NA,NA,NA,NA,NA,NA
frederick,24021,2020-11-06,238,168.1,0.7063025210084033,19,12.9,0.6789473684210526
garrett,24023,2020-11-06,NA,NA,NA,NA,NA,NA
harford,24025,2020-11-06,223,204,0.9147982062780269,29.799999999999997,26.5,0.8892617449664431
howard,24027,2020-11-06,302,194.3,0.6433774834437086,30,16,0.5333333333333333
kent,24029,2020-11-06,12,5,0.4166666666666667,0,0,NA
montgomery,24031,2020-11-06,1247.6,1028,0.8239820455274127,151.7,112.5,0.7415952537903758
prince_georges,24033,2020-11-06,981.1,712.1,0.7258179594332892,136,116.5,0.8566176470588235
queen_annes,24035,2020-11-06,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-11-06,101.1,87.9,0.8694362017804156,6.7,5,0.7462686567164178
somerset,24039,2020-11-06,NA,NA,NA,NA,NA,NA
talbot,24041,2020-11-06,164,72.6,0.44268292682926824,10,5.3,0.53
washington,24043,2020-11-06,230.3,215.1,0.9339991315675206,24,17.7,0.7374999999999999
wicomico,24045,2020-11-06,344,205.9,0.598546511627907,81,35.4,0.437037037037037
worcester,24047,2020-11-06,56,31,0.5535714285714286,8,5.3,0.6625
baltimore_city,24510,2020-11-06,3234.3,2594.8,0.8022756083232848,509.3,431.3,0.8468486157471039
allegany,24001,2020-11-13,190,171,0.9,28,12.9,0.46071428571428574
anne_arundel,24003,2020-11-13,616.7,575.7,0.9335171071833955,69.3,57.5,0.8297258297258298
baltimore,24005,2020-11-13,865,790,0.9132947976878613,106.9,87.89999999999999,0.8222637979420018
calvert,24009,2020-11-13,54.7,50,0.9140767824497257,6,5.6,0.9333333333333332
caroline,24011,2020-11-13,NA,NA,NA,NA,NA,NA
carroll,24013,2020-11-13,139,133.4,0.9597122302158274,12,9.6,0.7999999999999999
cecil,24015,2020-11-13,82.4,63.3,0.7682038834951456,10,8.3,0.8300000000000001
charles,24017,2020-11-13,117,85.4,0.72991452991453,6.7,5.9,0.8805970149253731
dorchester,24019,2020-11-13,NA,NA,NA,NA,NA,NA
frederick,24021,2020-11-13,226.9,113.4,0.499779638607316,14.1,7.6,0.5390070921985816
garrett,24023,2020-11-13,NA,NA,NA,NA,NA,NA
harford,24025,2020-11-13,154.1,141.4,0.9175859831278391,25,21.4,0.856
howard,24027,2020-11-13,305.9,205.6,0.6721150702844066,30.4,20.7,0.680921052631579
kent,24029,2020-11-13,20.3,4.3,0.21182266009852216,0,0,NA
montgomery,24031,2020-11-13,1245.4,1028.8999999999999,0.8261602697928375,141.1,117.39999999999999,0.8320340184266477
prince_georges,24033,2020-11-13,1004.5,750.4,0.7470383275261324,145.3,120.7,0.8306951135581555
queen_annes,24035,2020-11-13,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-11-13,99.1,83.7,0.8446014127144299,7.3,5.9,0.8082191780821919
somerset,24039,2020-11-13,NA,NA,NA,NA,NA,NA
talbot,24041,2020-11-13,134,76.4,0.5701492537313433,9.1,7.1,0.7802197802197802
washington,24043,2020-11-13,184.1,161.7,0.8783269961977186,24,16,0.6666666666666666
wicomico,24045,2020-11-13,344,244.1,0.709593023255814,81,37.4,0.46172839506172836
worcester,24047,2020-11-13,56,30.6,0.5464285714285715,8,4.3,0.5375
baltimore_city,24510,2020-11-13,3250.5,2618.3,0.8055068451007538,511.5,428.8,0.8383186705767351
allegany,24001,2020-11-20,190,167.3,0.8805263157894737,28,14.4,0.5142857142857143
anne_arundel,24003,2020-11-20,613.6,574.8,0.9367666232073011,75.4,58,0.7692307692307692
baltimore,24005,2020-11-20,851.4,779.5,0.9155508574113226,108.9,90.3,0.8292011019283746
calvert,24009,2020-11-20,NA,NA,NA,NA,NA,NA
caroline,24011,2020-11-20,NA,NA,NA,NA,NA,NA
carroll,24013,2020-11-20,146.3,141.1,0.9644565960355433,12,8.9,0.7416666666666667
cecil,24015,2020-11-20,75.4,57.6,0.7639257294429708,12.4,11.4,0.9193548387096774
charles,24017,2020-11-20,117.9,81.1,0.6878710771840542,7.9,7.1,0.8987341772151898
dorchester,24019,2020-11-20,NA,NA,NA,NA,NA,NA
frederick,24021,2020-11-20,219.9,156.4,0.7112323783537972,22.9,12.4,0.5414847161572053
garrett,24023,2020-11-20,NA,NA,NA,NA,NA,NA
harford,24025,2020-11-20,226,197.9,0.8756637168141593,31,24.700000000000003,0.7967741935483872
howard,24027,2020-11-20,320.4,205.1,0.6401373283395756,33,18.6,0.5636363636363637
kent,24029,2020-11-20,13.9,8.7,0.6258992805755395,0,0,NA
montgomery,24031,2020-11-20,1275,1024.8,0.8037647058823529,156.29999999999998,117,0.7485604606525913
prince_georges,24033,2020-11-20,965.4,755.2,0.7822664180650508,149.5,125.6,0.840133779264214
queen_annes,24035,2020-11-20,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-11-20,106,80,0.7547169811320755,9.7,8.9,0.9175257731958764
somerset,24039,2020-11-20,NA,NA,NA,NA,NA,NA
talbot,24041,2020-11-20,85.3,73.3,0.8593200468933176,6.4,5.4,0.84375
washington,24043,2020-11-20,222.3,172.7,0.7768780926675662,24,18,0.75
wicomico,24045,2020-11-20,344,248.9,0.723546511627907,81,36.1,0.445679012345679
worcester,24047,2020-11-20,56,32.9,0.5875,8,5.1,0.6375
baltimore_city,24510,2020-11-20,3237.7000000000003,2586.7000000000003,0.7989313401488711,517,436.40000000000003,0.8441005802707932
allegany,24001,2020-11-27,190,169,0.8894736842105263,28,16,0.5714285714285714
anne_arundel,24003,2020-11-27,612.9,589.9,0.9624734867025616,77.4,60.599999999999994,0.7829457364341084
baltimore,24005,2020-11-27,865.8,767.2,0.8861168861168862,108.4,86.60000000000001,0.7988929889298894
calvert,24009,2020-11-27,54.9,46.7,0.8506375227686703,6.1,5.7,0.9344262295081968
caroline,24011,2020-11-27,NA,NA,NA,NA,NA,NA
carroll,24013,2020-11-27,140.1,134.1,0.9571734475374732,11.4,7.6,0.6666666666666666
cecil,24015,2020-11-27,81.6,67.6,0.8284313725490196,13.9,12.9,0.9280575539568345
charles,24017,2020-11-27,109.9,82.7,0.7525022747952684,7.1,6.9,0.9718309859154931
dorchester,24019,2020-11-27,NA,NA,NA,NA,NA,NA
frederick,24021,2020-11-27,220,164.6,0.7481818181818182,23,13.1,0.5695652173913043
garrett,24023,2020-11-27,NA,NA,NA,NA,NA,NA
harford,24025,2020-11-27,265.5,227.8,0.8580037664783428,30.7,25.6,0.8338762214983714
howard,24027,2020-11-27,322,191.6,0.5950310559006211,33,20.3,0.6151515151515152
kent,24029,2020-11-27,12,9.4,0.7833333333333333,0,0,NA
montgomery,24031,2020-11-27,1264.2,1025.3999999999999,0.8111058376839106,148.9,111.3,0.7474815312290127
prince_georges,24033,2020-11-27,962.7,769.2,0.7990028046120287,142.8,121,0.8473389355742297
queen_annes,24035,2020-11-27,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-11-27,112.3,90,0.8014247551202137,9.1,9.1,1
somerset,24039,2020-11-27,NA,NA,NA,NA,NA,NA
talbot,24041,2020-11-27,84,79.4,0.9452380952380953,5.1,4.7,0.9215686274509804
washington,24043,2020-11-27,259,188.7,0.7285714285714285,24,19.7,0.8208333333333333
wicomico,24045,2020-11-27,344,243.4,0.7075581395348838,86.1,34.1,0.39605110336817656
worcester,24047,2020-11-27,56,42.1,0.7517857142857143,8,7.1,0.8875
baltimore_city,24510,2020-11-27,3215.2,2516.2,0.7825951729285892,513.4,424.2,0.8262563303467082
allegany,24001,2020-12-04,190,176,0.9263157894736842,28,17.3,0.6178571428571429
anne_arundel,24003,2020-12-04,610.3,603,0.9880386695068,76.1,62.2,0.8173455978975034
baltimore,24005,2020-12-04,867.8,773.8,0.8916801106245679,107.2,92.6,0.8638059701492536
calvert,24009,2020-12-04,53.6,45.4,0.8470149253731343,6,5.4,0.9
caroline,24011,2020-12-04,NA,NA,NA,NA,NA,NA
carroll,24013,2020-12-04,178.9,161.7,0.9038569032979317,10.3,10.1,0.9805825242718446
cecil,24015,2020-12-04,86.9,69.3,0.7974683544303797,12.6,11,0.873015873015873
charles,24017,2020-12-04,116.9,85.6,0.7322497861420016,8.4,8.3,0.9880952380952381
dorchester,24019,2020-12-04,NA,NA,NA,NA,NA,NA
frederick,24021,2020-12-04,220,180,0.8181818181818182,23,14.6,0.6347826086956522
garrett,24023,2020-12-04,NA,NA,NA,NA,NA,NA
harford,24025,2020-12-04,217.8,181.9,0.8351698806244261,32.4,23.799999999999997,0.7345679012345678
howard,24027,2020-12-04,322,209.7,0.6512422360248447,33,20.9,0.6333333333333333
kent,24029,2020-12-04,11.7,10.1,0.8632478632478633,0,0,NA
montgomery,24031,2020-12-04,1268,1052.9,0.8303627760252367,152,110.2,0.725
prince_georges,24033,2020-12-04,962.7,777.7,0.8078321387763582,148.4,124.5,0.8389487870619946
queen_annes,24035,2020-12-04,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-12-04,109.4,96.3,0.8802559414990858,10.1,9.4,0.9306930693069307
somerset,24039,2020-12-04,NA,NA,NA,NA,NA,NA
talbot,24041,2020-12-04,83.1,76.4,0.9193742478941036,4.9,4.6,0.9387755102040815
washington,24043,2020-12-04,259,212.7,0.8212355212355212,24.1,22.1,0.91701244813278
wicomico,24045,2020-12-04,344,253.7,0.7374999999999999,87,32.7,0.37586206896551727
worcester,24047,2020-12-04,56,33.1,0.5910714285714286,8,6.3,0.7875
baltimore_city,24510,2020-12-04,3256.4,2604.4,0.7997788969414077,517.7,443.59999999999997,0.8568669113386129
allegany,24001,2020-12-11,190.9,179.1,0.9381875327396542,28,17.9,0.6392857142857142
anne_arundel,24003,2020-12-11,606.4,598,0.9861477572559367,75.9,63.8,0.8405797101449274
baltimore,24005,2020-12-11,660.3,608.9,0.9221565954868999,85.9,74.8,0.8707799767171128
calvert,24009,2020-12-11,57.3,49.4,0.8621291448516579,6.4,6,0.9375
caroline,24011,2020-12-11,NA,NA,NA,NA,NA,NA
carroll,24013,2020-12-11,179.7,149.3,0.830829159710629,11,10.7,0.9727272727272727
cecil,24015,2020-12-11,86.9,75.1,0.864211737629459,8.9,7.7,0.8651685393258427
charles,24017,2020-12-11,111.6,81.6,0.7311827956989247,8.4,8,0.9523809523809523
dorchester,24019,2020-12-11,NA,NA,NA,NA,NA,NA
frederick,24021,2020-12-11,220,170.1,0.7731818181818182,17.9,16,0.893854748603352
garrett,24023,2020-12-11,NA,NA,NA,NA,NA,NA
harford,24025,2020-12-11,228.2,201.2,0.8816827344434707,35.7,23.900000000000002,0.6694677871148459
howard,24027,2020-12-11,322,212.3,0.6593167701863354,33,24.6,0.7454545454545455
kent,24029,2020-12-11,9.9,6.9,0.696969696969697,0,0,NA
montgomery,24031,2020-12-11,1276.6,1056.8999999999999,0.8279022403258656,159.6,116.60000000000001,0.730576441102757
prince_georges,24033,2020-12-11,995.6,775.8,0.7792286058658096,144.5,122.6,0.8484429065743945
queen_annes,24035,2020-12-11,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-12-11,113.4,92,0.8112874779541446,9.9,9.7,0.9797979797979797
somerset,24039,2020-12-11,NA,NA,NA,NA,NA,NA
talbot,24041,2020-12-11,76.1,73.9,0.971090670170828,4.9,4.7,0.9591836734693877
washington,24043,2020-12-11,259,207.7,0.8019305019305019,24.3,20.9,0.8600823045267489
wicomico,24045,2020-12-11,344,237.4,0.6901162790697675,87,32.3,0.3712643678160919
worcester,24047,2020-12-11,56,38.7,0.6910714285714287,8,5.9,0.7375
baltimore_city,24510,2020-12-11,3253.7000000000003,2616.8,0.8042536189568799,513.5,449.3,0.8749756572541383
allegany,24001,2020-12-18,195,160.4,0.8225641025641026,28,16.4,0.5857142857142856
anne_arundel,24003,2020-12-18,601.7,595.8,0.9901944490609937,81.1,66,0.813810110974106
baltimore,24005,2020-12-18,652.3,591.7,0.9070979610608617,87.8,81,0.9225512528473805
calvert,24009,2020-12-18,60.3,53,0.87893864013267,5.7,4.9,0.8596491228070176
caroline,24011,2020-12-18,NA,NA,NA,NA,NA,NA
carroll,24013,2020-12-18,160.3,148.3,0.9251403618215845,11,11,1
cecil,24015,2020-12-18,82.7,66.4,0.8029020556227328,10,8.9,0.89
charles,24017,2020-12-18,114.1,89.6,0.7852760736196319,8.3,8,0.9638554216867469
dorchester,24019,2020-12-18,NA,NA,NA,NA,NA,NA
frederick,24021,2020-12-18,220,163.9,0.745,16.3,16.1,0.9877300613496933
garrett,24023,2020-12-18,NA,NA,NA,NA,NA,NA
harford,24025,2020-12-18,217.70000000000002,190.79999999999998,0.8764354616444647,36,25.700000000000003,0.713888888888889
howard,24027,2020-12-18,339.9,202.6,0.5960576640188291,33,25,0.7575757575757576
kent,24029,2020-12-18,10.7,7,0.6542056074766356,0,0,NA
montgomery,24031,2020-12-18,1267,1057.3,0.8344909234411997,157.5,122.3,0.7765079365079365
prince_georges,24033,2020-12-18,1017,795,0.7817109144542773,146.2,126.6,0.86593707250342
queen_annes,24035,2020-12-18,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-12-18,107.9,86.6,0.8025949953660796,9,9,1
somerset,24039,2020-12-18,NA,NA,NA,NA,NA,NA
talbot,24041,2020-12-18,78.7,73.6,0.9351969504447267,5.4,5.3,0.9814814814814814
washington,24043,2020-12-18,259,196.1,0.7571428571428571,24,20.1,0.8375
wicomico,24045,2020-12-18,344,247.9,0.7206395348837209,87,30.1,0.3459770114942529
worcester,24047,2020-12-18,56.9,47.3,0.8312829525483304,8.9,7.9,0.8876404494382023
baltimore_city,24510,2020-12-18,3106.7,2448.4,0.7881031319406445,506,439.5,0.8685770750988142
allegany,24001,2020-12-25,195,152.6,0.7825641025641026,28,14.4,0.5142857142857143
anne_arundel,24003,2020-12-25,602.6,582.3,0.9663126452041154,81.1,72.3,0.8914919852034525
baltimore,24005,2020-12-25,634.3,572.1,0.9019391455147407,78.30000000000001,69.2,0.883780332056194
calvert,24009,2020-12-25,57.3,50.6,0.8830715532286214,6.9,5.9,0.855072463768116
caroline,24011,2020-12-25,NA,NA,NA,NA,NA,NA
carroll,24013,2020-12-25,160.1,151.7,0.9475327920049968,12.7,12.7,1
cecil,24015,2020-12-25,86.7,79.9,0.9215686274509804,9.1,8.6,0.945054945054945
charles,24017,2020-12-25,116.4,92,0.7903780068728522,8.4,8,0.9523809523809523
dorchester,24019,2020-12-25,NA,NA,NA,NA,NA,NA
frederick,24021,2020-12-25,219.9,180,0.8185538881309686,15.1,15,0.9933774834437087
garrett,24023,2020-12-25,NA,NA,NA,NA,NA,NA
harford,24025,2020-12-25,229.9,198.10000000000002,0.8616789908655939,36,31,0.8611111111111112
howard,24027,2020-12-25,341,205,0.6011730205278593,33,24.3,0.7363636363636363
kent,24029,2020-12-25,10.7,8.7,0.8130841121495327,0,0,NA
montgomery,24031,2020-12-25,1264,1013.7,0.8019778481012658,164.2,115.1,0.7009744214372716
prince_georges,24033,2020-12-25,1019.9,809.1,0.7933130699088147,155.9,137.1,0.8794098781270044
queen_annes,24035,2020-12-25,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-12-25,102.7,80.7,0.7857838364167478,10.4,10.3,0.9903846153846154
somerset,24039,2020-12-25,NA,NA,NA,NA,NA,NA
talbot,24041,2020-12-25,76.9,71.6,0.931079323797139,6,5.3,0.8833333333333333
washington,24043,2020-12-25,259,211.7,0.8173745173745174,28.1,24.3,0.8647686832740213
wicomico,24045,2020-12-25,344,245.3,0.7130813953488372,87,35.3,0.40574712643678157
worcester,24047,2020-12-25,58,46,0.7931034482758621,10,5,0.5
baltimore_city,24510,2020-12-25,3214.7,2472.4,0.7690919836998787,515.7,436.3,0.8460345161915842
