date,county,prob_deaths,fips,new_prob_deaths
2020-08-08,dorchester,0,24019,0
2020-08-08,frederick,7,24021,0
2020-08-08,garrett,0,24023,0
2020-08-08,harford,3,24025,0
2020-08-08,howard,7,24027,1
2020-08-08,kent,1,24029,0
2020-08-08,montgomery,39,24031,0
2020-08-08,prince_georges,23,24033,0
2020-08-08,queen_annes,1,24035,0
2020-08-08,somerset,0,24039,0
2020-08-08,st_marys,0,24037,0
2020-08-08,talbot,0,24041,0
2020-08-08,washington,0,24043,0
2020-08-08,wicomico,0,24045,0
2020-08-08,worcester,1,24047,0
2020-08-08,unknown,3,NA,1
2020-08-09,allegany,0,24001,0
2020-08-09,anne_arundel,9,24003,0
2020-08-09,baltimore,22,24005,0
2020-08-09,baltimore_city,15,24510,0
2020-08-09,calvert,1,24009,0
2020-08-09,caroline,0,24011,0
2020-08-09,carroll,2,24013,0
2020-08-09,cecil,1,24015,0
2020-08-09,charles,2,24017,0
2020-08-09,dorchester,0,24019,0
2020-08-09,frederick,7,24021,0
2020-08-09,garrett,0,24023,0
2020-08-09,harford,3,24025,0
2020-08-09,howard,6,24027,0
2020-08-09,kent,1,24029,0
2020-08-09,montgomery,39,24031,0
2020-08-09,prince_georges,23,24033,0
2020-08-09,queen_annes,1,24035,0
2020-08-09,somerset,0,24039,0
2020-08-09,st_marys,0,24037,0
2020-08-09,talbot,0,24041,0
2020-08-09,washington,0,24043,0
2020-08-09,wicomico,0,24045,0
2020-08-09,worcester,1,24047,0
2020-08-09,unknown,4,NA,1
2020-08-10,allegany,0,24001,0
2020-08-10,anne_arundel,9,24003,0
2020-08-10,baltimore,22,24005,0
2020-08-10,baltimore_city,16,24510,1
2020-08-10,calvert,1,24009,0
2020-08-10,caroline,0,24011,0
2020-08-10,carroll,2,24013,0
2020-08-10,cecil,1,24015,0
2020-08-10,charles,2,24017,0
2020-08-10,dorchester,0,24019,0
2020-08-10,frederick,7,24021,0
2020-08-10,garrett,0,24023,0
2020-08-10,harford,3,24025,0
2020-08-10,howard,6,24027,0
2020-08-10,kent,1,24029,0
2020-08-10,montgomery,39,24031,0
2020-08-10,prince_georges,23,24033,0
2020-08-10,queen_annes,1,24035,0
2020-08-10,somerset,0,24039,0
2020-08-10,st_marys,0,24037,0
2020-08-10,talbot,0,24041,0
2020-08-10,washington,0,24043,0
2020-08-10,wicomico,0,24045,0
2020-08-10,worcester,1,24047,0
2020-08-10,unknown,3,NA,0
2020-08-11,allegany,0,24001,0
2020-08-11,anne_arundel,10,24003,1
2020-08-11,baltimore,22,24005,0
2020-08-11,baltimore_city,16,24510,0
2020-08-11,calvert,1,24009,0
2020-08-11,caroline,0,24011,0
2020-08-11,carroll,2,24013,0
2020-08-11,cecil,1,24015,0
2020-08-11,charles,2,24017,0
2020-08-11,dorchester,0,24019,0
2020-08-11,frederick,7,24021,0
2020-08-11,garrett,0,24023,0
2020-08-11,harford,3,24025,0
2020-08-11,howard,6,24027,0
2020-08-11,kent,1,24029,0
2020-08-11,montgomery,39,24031,0
2020-08-11,prince_georges,23,24033,0
2020-08-11,queen_annes,1,24035,0
2020-08-11,somerset,0,24039,0
2020-08-11,st_marys,0,24037,0
2020-08-11,talbot,0,24041,0
2020-08-11,washington,0,24043,0
