County,date,new_cases,rolling_avg
Calvert,2021-01-28,36,26.714285714285715
Caroline,2021-01-28,9,20
Carroll,2021-01-28,58,47.142857142857146
Cecil,2021-01-28,16,23.857142857142858
Charles,2021-01-28,47,60.142857142857146
Dorchester,2021-01-28,14,18.857142857142858
Frederick,2021-01-28,103,92.71428571428571
Garrett,2021-01-28,17,5.857142857142857
Harford,2021-01-28,88,83.71428571428571
Howard,2021-01-28,80,83.71428571428571
Kent,2021-01-28,2,8.428571428571429
Montgomery,2021-01-28,326,354.2857142857143
Prince George's,2021-01-28,353,361.85714285714283
Queen Anne's,2021-01-28,16,15.714285714285714
Somerset,2021-01-28,14,13.571428571428571
St. Mary's,2021-01-28,41,33.285714285714285
Talbot,2021-01-28,13,11.428571428571429
Washington,2021-01-28,75,59.142857142857146
Wicomico,2021-01-28,41,47.857142857142854
Worcester,2021-01-28,10,20.142857142857142
Allegany,2021-01-29,9,18.285714285714285
Anne Arundel,2021-01-29,173,201.42857142857142
Baltimore County,2021-01-29,225,235.14285714285714
Baltimore City,2021-01-29,161,167.42857142857142
Calvert,2021-01-29,33,28
Caroline,2021-01-29,26,17.714285714285715
Carroll,2021-01-29,53,46.857142857142854
Cecil,2021-01-29,19,22.285714285714285
Charles,2021-01-29,76,62.714285714285715
Dorchester,2021-01-29,9,18.857142857142858
Frederick,2021-01-29,105,90
Garrett,2021-01-29,7,5.571428571428571
Harford,2021-01-29,59,76.71428571428571
Howard,2021-01-29,78,78.28571428571429
Kent,2021-01-29,4,6.428571428571429
Montgomery,2021-01-29,297,336.7142857142857
Prince George's,2021-01-29,374,356.85714285714283
Queen Anne's,2021-01-29,10,11.571428571428571
Somerset,2021-01-29,6,12.571428571428571
St. Mary's,2021-01-29,28,30.571428571428573
Talbot,2021-01-29,11,11.142857142857142
Washington,2021-01-29,79,62.57142857142857
Wicomico,2021-01-29,19,44.285714285714285
Worcester,2021-01-29,19,17.142857142857142
Allegany,2021-01-30,32,20.285714285714285
Anne Arundel,2021-01-30,202,191.57142857142858
Baltimore County,2021-01-30,268,236
Baltimore City,2021-01-30,146,154.71428571428572
Calvert,2021-01-30,19,23.714285714285715
Caroline,2021-01-30,15,17
Carroll,2021-01-30,29,45.57142857142857
Cecil,2021-01-30,36,22.571428571428573
Charles,2021-01-30,56,59.142857142857146
Dorchester,2021-01-30,34,17
Frederick,2021-01-30,84,86.57142857142857
Garrett,2021-01-30,1,5.285714285714286
