date,zip,cases,new_cases,population,cases_per_100k
2020-10-05,21779,12,0,1062,1129.9435028248588
2020-10-05,21780,12,0,1638,732.6007326007326
2020-10-05,21782,38,0,4003,949.2880339745191
2020-10-05,21783,67,0,9022,742.6291287962757
2020-10-05,21784,526,0,38390,1370.1484761656682
2020-10-05,21787,75,2,10186,736.3047319850775
2020-10-05,21788,77,0,11563,665.917149528669
2020-10-05,21790,0,0,55,0
2020-10-05,21791,41,1,5328,769.5195195195196
2020-10-05,21793,146,2,10163,1436.583685919512
2020-10-05,21794,48,0,2280,2105.2631578947367
2020-10-05,21795,101,0,9236,1093.546990038978
2020-10-05,21797,85,0,8672,980.1660516605167
2020-10-05,21798,21,0,1894,1108.7645195353748
2020-10-05,21801,711,4,30007,2369.4471290032325
2020-10-05,21802,13,0,89,14606.741573033707
2020-10-05,21804,948,7,40402,2346.4184941339536
2020-10-05,21811,384,3,23701,1620.1848023290156
2020-10-05,21813,43,0,2654,1620.1959306706856
2020-10-05,21814,0,0,603,0
2020-10-05,21817,61,8,4777,1276.9520619635755
2020-10-05,21821,0,0,924,0
2020-10-05,21822,35,0,2013,1738.6984600099354
2020-10-05,21824,0,0,113,0
2020-10-05,21826,86,1,5331,1613.2057775276685
2020-10-05,21829,0,0,461,0
2020-10-05,21830,43,0,3808,1129.2016806722688
2020-10-05,21835,0,0,294,0
2020-10-05,21837,28,0,3266,857.3178199632579
2020-10-05,21838,19,1,1810,1049.7237569060774
2020-10-05,21840,0,0,349,0
2020-10-05,21841,13,0,1373,946.831755280408
2020-10-05,21842,354,6,10669,3318.0241822101416
2020-10-05,21849,41,0,3299,1242.8008487420432
2020-10-05,21850,26,0,3096,839.7932816537468
2020-10-05,21851,172,0,6869,2504.0034939583634
2020-10-05,21853,177,2,11693,1513.7261609509962
2020-10-05,21856,14,0,913,1533.4063526834611
2020-10-05,21861,0,0,815,0
2020-10-05,21862,0,0,68,0
2020-10-05,21863,114,0,4741,2404.556000843704
2020-10-05,21864,16,0,645,2480.6201550387595
2020-10-05,21865,0,0,504,0
2020-10-05,21869,16,0,1100,1454.5454545454545
2020-10-05,21871,15,0,1978,758.3417593528817
2020-10-05,21872,0,0,516,0
2020-10-05,21874,30,0,1872,1602.5641025641023
2020-10-05,21875,95,2,6460,1470.5882352941176
2020-10-05,21890,0,0,2799,0
2020-10-05,21901,150,0,17698,847.5533958639394
2020-10-05,21903,48,0,6067,791.165320586781
2020-10-05,21904,47,0,7005,670.9493219129193
2020-10-05,21911,206,3,11238,1833.0663819184908
2020-10-05,21912,31,0,1152,2690.972222222222
2020-10-05,21913,28,0,884,3167.420814479638
2020-10-05,21914,9,0,771,1167.3151750972763
2020-10-05,21915,24,0,2732,878.4773060029282
2020-10-05,21917,17,0,2577,659.6818005432673
2020-10-05,21918,39,0,3853,1012.1982870490526
2020-10-05,21919,28,0,2696,1038.5756676557862
2020-10-05,21921,487,2,44896,1084.7291518175339
2020-10-05,21930,0,0,180,0
