date,county,fips,daily,average
2020-04-08,wicomico,24045,0.21280000000000002,0.1338
2020-04-08,worcester,24047,0,0.08070000000000001
2020-04-09,allegany,24001,0.060599999999999994,0.051500000000000004
2020-04-09,anne_arundel,24003,0.2192,0.1813
2020-04-09,baltimore,24005,0.1545,0.12539999999999998
2020-04-09,baltimore_city,24510,0.2048,0.21
2020-04-09,calvert,24009,0.12119999999999999,0.1506
2020-04-09,caroline,24011,0.07139999999999999,0.0635
2020-04-09,carroll,24013,0.1505,0.1642
2020-04-09,cecil,24015,0.1364,0.1157
2020-04-09,charles,24017,0.146,0.2009
2020-04-09,dorchester,24019,0.1304,0.039
2020-04-09,frederick,24021,0.2229,0.147
2020-04-09,garrett,24023,0,0.011000000000000001
2020-04-09,harford,24025,0.1354,0.08689999999999999
2020-04-09,howard,24027,0.2892,0.2357
2020-04-09,kent,24029,0.15380000000000002,0.1492
2020-04-09,montgomery,24031,0.26239999999999997,0.2273
2020-04-09,prince_georges,24033,0.37560000000000004,0.3515
2020-04-09,queen_annes,24035,0.05,0.1072
2020-04-09,somerset,24039,0,0
2020-04-09,st_marys,24037,0.1,0.13720000000000002
2020-04-09,talbot,24041,0.12,0.0605
2020-04-09,washington,24043,0.1563,0.1137
2020-04-09,wicomico,24045,0.0313,0.1383
2020-04-09,worcester,24047,0.29410000000000003,0.0968
2020-04-10,allegany,24001,0.0833,0.053899999999999997
2020-04-10,anne_arundel,24003,0.1324,0.17629999999999998
2020-04-10,baltimore,24005,0.1479,0.1304
2020-04-10,baltimore_city,24510,0.2089,0.2168
2020-04-10,calvert,24009,0.3103,0.1646
2020-04-10,caroline,24011,0,0.0635
2020-04-10,carroll,24013,0.16670000000000001,0.1575
2020-04-10,cecil,24015,0.16670000000000001,0.1274
2020-04-10,charles,24017,0.2764,0.20379999999999998
2020-04-10,dorchester,24019,0.1429,0.0594
2020-04-10,frederick,24021,0.3155,0.17420000000000002
2020-04-10,garrett,24023,0,0.011000000000000001
2020-04-10,harford,24025,0.1354,0.09539999999999998
2020-04-10,howard,24027,0.2021,0.2296
2020-04-10,kent,24029,0,0.092
2020-04-10,montgomery,24031,0.3012,0.23670000000000002
2020-04-10,prince_georges,24033,0.3591,0.35979999999999995
2020-04-10,queen_annes,24035,0,0.06509999999999999
2020-04-10,somerset,24039,0,0
2020-04-10,st_marys,24037,0.15,0.1331
2020-04-10,talbot,24041,0.25,0.08199999999999999
2020-04-10,washington,24043,0.1148,0.1192
2020-04-10,wicomico,24045,0.4138,0.1974
2020-04-10,worcester,24047,0.2,0.12539999999999998
2020-04-11,allegany,24001,0.030299999999999997,0.051399999999999994
2020-04-11,anne_arundel,24003,0.2614,0.19
2020-04-11,baltimore,24005,0.155,0.136
2020-04-11,baltimore_city,24510,0.1978,0.21719999999999998
2020-04-11,calvert,24009,0.1905,0.1704
2020-04-11,caroline,24011,0.1875,0.0902
2020-04-11,carroll,24013,0.1023,0.1593
2020-04-11,cecil,24015,0,0.09570000000000001
